TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-07,2026-08-07,FO,NSE,IDO,59148,,BANKNIFTY,,2026-08-25,2026-08-25,59100.00,PE,BANKNIFTY26AUG59100PE,1305.05,1432.75,1270.25,1330.60,1334.15,1232.45,57746.45,1330.60,3660,1230,89,161342701.50,67,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,59205,,BANKNIFTY,,2026-08-25,2026-08-25,60600.00,PE,BANKNIFTY26AUG60600PE,0.00,0.00,0.00,3420.45,3420.45,3420.45,57746.45,2905.89,300,0,0,0.00,0,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,59225,,BANKNIFTY,,2026-08-25,2026-08-25,61000.00,PE,BANKNIFTY26AUG61000PE,2992.10,3107.30,2950.00,3007.40,3005.00,2849.60,57746.45,3007.40,72030,330,65,124790685.00,64,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,59279,,BANKNIFTY,,2026-08-25,2026-08-25,62700.00,PE,BANKNIFTY26AUG62700PE,0.00,0.00,0.00,7127.80,0.00,7127.80,57746.45,4814.17,0,0,0,0.00,0,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,59303,,BANKNIFTY,,2026-08-25,2026-08-25,63600.00,PE,BANKNIFTY26AUG63600PE,0.00,0.00,0.00,7911.60,0.00,7911.60,57746.45,5685.49,0,0,0,0.00,0,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,59331,,BANKNIFTY,,2026-08-25,2026-08-25,64500.00,PE,BANKNIFTY26AUG64500PE,0.00,0.00,0.00,8716.60,0.00,8716.60,57746.45,6570.44,0,0,0,0.00,0,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,59387,,BANKNIFTY,,2026-08-25,2026-08-25,66000.00,PE,BANKNIFTY26AUG66000PE,7960.00,8120.00,7960.00,8009.85,8009.85,7811.50,57746.45,8009.85,17610,-3300,127,282105454.50,112,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,52269,,BANKNIFTY,,2026-09-29,2026-09-29,45000.00,PE,BANKNIFTY26SEP45000PE,14.85,15.00,12.50,14.00,14.00,14.85,57746.45,14.00,7140,90,47,63468885.00,26,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,69697,,BANKNIFTY,,2026-09-29,2026-09-29,53600.00,PE,BANKNIFTY26SEP53600PE,0.00,0.00,0.00,680.90,0.00,680.90,57746.45,320.30,0,0,0,0.00,0,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,69760,,BANKNIFTY,,2026-09-29,2026-09-29,54600.00,PE,BANKNIFTY26SEP54600PE,0.00,0.00,0.00,928.20,0.00,928.20,57746.45,500.58,0,0,0,0.00,0,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,69766,,BANKNIFTY,,2026-09-29,2026-09-29,54900.00,PE,BANKNIFTY26SEP54900PE,0.00,0.00,0.00,1010.25,0.00,1010.25,57746.45,567.17,0,0,0,0.00,0,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,69792,,BANKNIFTY,,2026-09-29,2026-09-29,56000.00,PE,BANKNIFTY26SEP56000PE,340.00,378.70,320.00,335.45,336.25,321.80,57746.45,335.45,156270,4140,1704,2880820008.00,907,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,69794,,BANKNIFTY,,2026-09-29,2026-09-29,56100.00,PE,BANKNIFTY26SEP56100PE,0.00,0.00,0.00,868.95,867.05,868.95,57746.45,898.67,420,0,0,0.00,0,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,69796,,BANKNIFTY,,2026-09-29,2026-09-29,56200.00,PE,BANKNIFTY26SEP56200PE,370.35,410.70,370.35,374.90,373.30,356.75,57746.45,374.90,4740,-60,15,25465260.00,15,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,70114,,BANKNIFTY,,2026-09-29,2026-09-29,63900.00,PE,BANKNIFTY26SEP63900PE,0.00,0.00,0.00,6084.95,0.00,6084.95,57746.45,5833.65,0,0,0,0.00,0,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,49380,,BANKNIFTY,,2026-10-27,2026-10-27,52600.00,PE,BANKNIFTY26OCT52600PE,0.00,0.00,0.00,598.55,0.00,598.55,57746.45,360.58,0,0,0,0.00,0,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,49434,,BANKNIFTY,,2026-10-27,2026-10-27,54800.00,PE,BANKNIFTY26OCT54800PE,0.00,0.00,0.00,1177.90,0.00,1177.90,57746.45,796.11,0,0,0,0.00,0,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,49450,,BANKNIFTY,,2026-10-27,2026-10-27,55300.00,PE,BANKNIFTY26OCT55300PE,0.00,0.00,0.00,1350.40,0.00,1350.40,57746.45,929.55,0,0,0,0.00,0,F1,30,,,,,
2026-08-07,2026-08-07,FO,NSE,IDO,49549,,BANKNIFTY,,2026-10-27,2026-10-27,59100.00,PE,BANKNIFTY26OCT59100PE,0.00,0.00,0.00,1664.20,1664.20,1664.20,57746.45,2509.24,150,0,0,0.00,0,F1,30,,,,,
