TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-17,2026-08-17,FO,NSE,IDO,59015,,BANKNIFTY,,2026-08-25,2026-08-25,55500.00,PE,BANKNIFTY26AUG55500PE,28.55,33.50,15.70,18.65,20.05,25.10,57497.80,18.65,351480,-29190,46220,76987171483.50,22578,F1,30,,,,,
2026-08-17,2026-08-17,FO,NSE,IDO,59021,,BANKNIFTY,,2026-08-25,2026-08-25,55600.00,PE,BANKNIFTY26AUG55600PE,30.00,38.80,18.40,20.95,22.65,28.45,57497.80,20.95,106740,34140,9340,15586228315.50,4049,F1,30,,,,,
2026-08-17,2026-08-17,FO,NSE,IDO,59048,,BANKNIFTY,,2026-08-25,2026-08-25,56300.00,PE,BANKNIFTY26AUG56300PE,75.30,113.65,46.35,51.45,54.25,75.30,57497.80,51.45,107580,11520,26472,44772374598.00,15859,F1,30,,,,,
2026-08-17,2026-08-17,FO,NSE,IDO,59074,,BANKNIFTY,,2026-08-25,2026-08-25,56800.00,PE,BANKNIFTY26AUG56800PE,148.05,233.80,95.90,103.50,114.60,151.80,57497.80,103.50,194010,32820,26574,45410548920.00,19244,F1,30,,,,,
2026-08-17,2026-08-17,FO,NSE,IDO,59095,,BANKNIFTY,,2026-08-25,2026-08-25,57700.00,PE,BANKNIFTY26AUG57700PE,517.00,693.55,328.60,354.45,382.05,444.50,57497.80,354.45,296160,42240,56492,98500143478.50,41397,F1,30,,,,,
2026-08-17,2026-08-17,FO,NSE,IDO,59140,,BANKNIFTY,,2026-08-25,2026-08-25,58800.00,PE,BANKNIFTY26AUG58800PE,1450.00,1569.00,1021.25,1088.05,1136.75,1194.40,57497.80,1088.05,13800,-12870,1080,1949880403.50,614,F1,30,,,,,
2026-08-17,2026-08-17,FO,NSE,IDO,59166,,BANKNIFTY,,2026-08-25,2026-08-25,59900.00,PE,BANKNIFTY26AUG59900PE,0.00,0.00,0.00,2223.20,2223.20,2223.20,57497.80,2401.80,90,0,0,0.00,0,F1,30,,,,,
2026-08-17,2026-08-17,FO,NSE,IDO,59247,,BANKNIFTY,,2026-08-25,2026-08-25,61600.00,PE,BANKNIFTY26AUG61600PE,0.00,0.00,0.00,6204.45,0.00,6204.45,57497.80,4028.36,0,0,0,0.00,0,F1,30,,,,,
2026-08-17,2026-08-17,FO,NSE,IDO,59299,,BANKNIFTY,,2026-08-25,2026-08-25,63400.00,PE,BANKNIFTY26AUG63400PE,0.00,0.00,0.00,7735.45,0.00,7735.45,57497.80,5818.40,0,0,0,0.00,0,F1,30,,,,,
2026-08-17,2026-08-17,FO,NSE,IDO,59261,,BANKNIFTY,,2026-08-25,2026-08-25,62300.00,PE,BANKNIFTY26AUG62300PE,0.00,0.00,0.00,6787.25,0.00,6787.25,57497.80,4722.07,0,0,0,0.00,0,F1,30,,,,,
