TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-12,2026-08-12,FO,NSE,IDO,59074,,BANKNIFTY,,2026-08-25,2026-08-25,56800.00,PE,BANKNIFTY26AUG56800PE,275.55,313.25,149.15,153.00,153.95,275.55,57885.85,153.00,137670,18240,16502,28220650201.50,12844,F1,30,,,,,
2026-08-12,2026-08-12,FO,NSE,IDO,59048,,BANKNIFTY,,2026-08-25,2026-08-25,56300.00,PE,BANKNIFTY26AUG56300PE,183.35,187.95,86.35,88.25,88.50,166.15,57885.85,88.25,88530,3600,8537,14450179354.50,5892,F1,30,,,,,
2026-08-12,2026-08-12,FO,NSE,IDO,59021,,BANKNIFTY,,2026-08-25,2026-08-25,55600.00,PE,BANKNIFTY26AUG55600PE,79.75,90.65,41.20,42.20,41.55,79.75,57885.85,42.20,59670,9480,5103,8520235362.00,2542,F1,30,,,,,
2026-08-12,2026-08-12,FO,NSE,IDO,59015,,BANKNIFTY,,2026-08-25,2026-08-25,55500.00,PE,BANKNIFTY26AUG55500PE,69.40,80.15,37.30,38.35,38.65,71.30,57885.85,38.35,287370,17070,29862,49764467310.00,17455,F1,30,,,,,
2026-08-12,2026-08-12,FO,NSE,IDO,59011,,BANKNIFTY,,2026-08-25,2026-08-25,55300.00,PE,BANKNIFTY26AUG55300PE,57.00,63.25,29.90,31.60,32.05,58.30,57885.85,31.60,48660,9960,5751,9547696410.00,2832,F1,30,,,,,
2026-08-12,2026-08-12,FO,NSE,IDO,58993,,BANKNIFTY,,2026-08-25,2026-08-25,54500.00,PE,BANKNIFTY26AUG54500PE,26.85,28.90,15.70,16.45,16.50,27.55,57885.85,16.45,207270,-15090,21687,35471593561.50,12154,F1,30,,,,,
2026-08-12,2026-08-12,FO,NSE,IDO,58957,,BANKNIFTY,,2026-08-25,2026-08-25,53300.00,PE,BANKNIFTY26AUG53300PE,10.95,11.75,9.05,10.10,10.25,13.25,57885.85,10.10,6120,30,93,148736104.50,67,F1,30,,,,,
2026-08-12,2026-08-12,FO,NSE,IDO,58937,,BANKNIFTY,,2026-08-25,2026-08-25,52800.00,PE,BANKNIFTY26AUG52800PE,10.50,10.50,6.35,7.10,7.15,10.50,57885.85,7.10,11460,1620,323,511711527.00,156,F1,30,,,,,
2026-08-12,2026-08-12,FO,NSE,IDO,58921,,BANKNIFTY,,2026-08-25,2026-08-25,52000.00,PE,BANKNIFTY26AUG52000PE,8.30,8.50,5.90,6.35,6.05,8.00,57885.85,6.35,322770,-31530,8468,13211861581.50,4799,F1,30,,,,,
2026-08-12,2026-08-12,FO,NSE,IDO,58917,,BANKNIFTY,,2026-08-25,2026-08-25,51800.00,PE,BANKNIFTY26AUG51800PE,7.90,7.90,5.85,6.40,6.40,8.00,57885.85,1.08,1380,-30,30,46625665.50,20,F1,30,,,,,
