TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-23,2026-07-23,FO,NSE,IDO,70794,,BANKNIFTY,,2027-06-29,2027-06-29,58500.00,CE,BANKNIFTY27JUN58500CE,0.00,0.00,0.00,6124.45,0.00,6124.45,56592.00,5354.70,0,0,0,0.00,0,F1,30,,,,,
2026-07-23,2026-07-23,FO,NSE,IDO,61636,,BANKNIFTY,,2026-07-28,2026-07-28,48000.00,PE,BANKNIFTY26JUL48000PE,2.25,3.20,1.40,1.95,1.80,2.20,56592.00,1.95,58410,990,595,856841523.00,259,F1,30,,,,,
2026-07-23,2026-07-23,FO,NSE,IDO,61658,,BANKNIFTY,,2026-07-28,2026-07-28,49000.00,PE,BANKNIFTY26JUL49000PE,2.15,3.50,1.80,2.10,1.85,2.30,56592.00,2.10,55950,-3540,711,1045223866.50,519,F1,30,,,,,
2026-07-23,2026-07-23,FO,NSE,IDO,61666,,BANKNIFTY,,2026-07-28,2026-07-28,49300.00,PE,BANKNIFTY26JUL49300PE,0.00,0.00,0.00,3.15,3.15,3.15,56592.00,0.00,420,0,0,0.00,0,F1,30,,,,,
2026-07-23,2026-07-23,FO,NSE,IDO,61711,,BANKNIFTY,,2026-07-28,2026-07-28,51200.00,PE,BANKNIFTY26JUL51200PE,3.45,3.90,2.50,2.80,2.75,3.40,56592.00,2.80,7770,1770,110,168970288.50,58,F1,30,,,,,
2026-07-23,2026-07-23,FO,NSE,IDO,61728,,BANKNIFTY,,2026-07-28,2026-07-28,51800.00,PE,BANKNIFTY26JUL51800PE,3.35,3.95,2.70,3.75,3.95,4.60,56592.00,3.75,3120,360,75,116557986.00,27,F1,30,,,,,
2026-07-23,2026-07-23,FO,NSE,IDO,61746,,BANKNIFTY,,2026-07-28,2026-07-28,52600.00,PE,BANKNIFTY26JUL52600PE,5.30,5.90,3.50,3.60,3.55,4.60,56592.00,3.60,3600,240,125,197267403.00,54,F1,30,,,,,
2026-07-23,2026-07-23,FO,NSE,IDO,61761,,BANKNIFTY,,2026-07-28,2026-07-28,53200.00,PE,BANKNIFTY26JUL53200PE,5.20,7.10,4.20,5.05,4.30,5.60,56592.00,5.05,16680,-2310,1262,2014371112.50,504,F1,30,,,,,
2026-07-23,2026-07-23,FO,NSE,IDO,61781,,BANKNIFTY,,2026-07-28,2026-07-28,53800.00,PE,BANKNIFTY26JUL53800PE,7.85,10.15,5.70,7.00,6.05,7.35,56592.00,7.00,25470,-690,2500,4035609667.50,1235,F1,30,,,,,
2026-07-23,2026-07-23,FO,NSE,IDO,61816,,BANKNIFTY,,2026-07-28,2026-07-28,55200.00,PE,BANKNIFTY26JUL55200PE,41.95,64.80,23.45,38.00,35.50,30.40,56592.00,38.00,96060,-1620,19180,31786147630.50,10156,F1,30,,,,,
