TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-21,2026-08-21,FO,NSE,IDO,49461,,BANKNIFTY,,2026-10-27,2026-10-27,55700.00,CE,BANKNIFTY26OCT55700CE,0.00,0.00,0.00,3392.10,0.00,3392.10,57761.95,3608.48,0,0,0,0.00,0,F1,30,,,,,
2026-08-21,2026-08-21,FO,NSE,IDO,49457,,BANKNIFTY,,2026-10-27,2026-10-27,55500.00,CE,BANKNIFTY26OCT55500CE,0.00,0.00,0.00,3400.00,3400.00,3400.00,57761.95,3747.55,0,0,0,0.00,0,F1,30,,,,,
2026-08-21,2026-08-21,FO,NSE,IDO,49405,,BANKNIFTY,,2026-10-27,2026-10-27,53600.00,CE,BANKNIFTY26OCT53600CE,0.00,0.00,0.00,4790.50,0.00,4790.50,57761.95,5200.85,0,0,0,0.00,0,F1,30,,,,,
2026-08-21,2026-08-21,FO,NSE,IDO,49385,,BANKNIFTY,,2026-10-27,2026-10-27,52900.00,CE,BANKNIFTY26OCT52900CE,0.00,0.00,0.00,5311.85,0.00,5311.85,57761.95,5788.04,0,0,0,0.00,0,F1,30,,,,,
2026-08-21,2026-08-21,FO,NSE,IDO,49381,,BANKNIFTY,,2026-10-27,2026-10-27,52700.00,CE,BANKNIFTY26OCT52700CE,0.00,0.00,0.00,5466.20,0.00,5466.20,57761.95,5960.13,0,0,0,0.00,0,F1,30,,,,,
2026-08-21,2026-08-21,FO,NSE,IDO,69781,,BANKNIFTY,,2026-09-29,2026-09-29,55700.00,CE,BANKNIFTY26SEP55700CE,0.00,0.00,0.00,3959.30,0.00,3959.30,57761.95,3027.87,0,0,0,0.00,0,F1,30,,,,,
2026-08-21,2026-08-21,FO,NSE,IDO,69824,,BANKNIFTY,,2026-09-29,2026-09-29,57600.00,CE,BANKNIFTY26SEP57600CE,1072.20,1130.00,989.10,1058.05,1047.35,1021.15,57761.95,1058.05,38760,4500,1488,2619137161.50,1123,F1,30,,,,,
2026-08-21,2026-08-21,FO,NSE,IDO,69838,,BANKNIFTY,,2026-09-29,2026-09-29,58000.00,CE,BANKNIFTY26SEP58000CE,801.05,896.00,770.00,826.35,820.00,799.15,57761.95,826.35,536790,130170,16983,29976979711.50,11142,F1,30,,,,,
2026-08-21,2026-08-21,FO,NSE,IDO,69870,,BANKNIFTY,,2026-09-29,2026-09-29,58800.00,CE,BANKNIFTY26SEP58800CE,451.75,515.00,429.60,466.65,461.80,451.70,57761.95,466.65,27630,3750,424,753959718.00,294,F1,30,,,,,
2026-08-21,2026-08-21,FO,NSE,IDO,69917,,BANKNIFTY,,2026-09-29,2026-09-29,59400.00,CE,BANKNIFTY26SEP59400CE,0.00,0.00,0.00,2003.60,0.00,2003.60,57761.95,1004.11,0,0,0,0.00,0,F1,30,,,,,
