TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-19,2026-08-19,FO,NSE,IDO,58737,,BANKNIFTY,,2026-08-25,2026-08-25,47000.00,PE,BANKNIFTY26AUG47000PE,1.25,1.60,1.05,1.30,1.30,1.35,57239.75,1.30,35610,6480,542,764242026.00,224,F1,30,,,,,
2026-08-19,2026-08-19,FO,NSE,IDO,58981,,BANKNIFTY,,2026-08-25,2026-08-25,54100.00,PE,BANKNIFTY26AUG54100PE,3.90,5.30,3.80,4.90,5.00,4.70,57239.75,4.90,11760,-5550,1500,2434700896.50,810,F1,30,,,,,
2026-08-19,2026-08-19,FO,NSE,IDO,59005,,BANKNIFTY,,2026-08-25,2026-08-25,55000.00,PE,BANKNIFTY26AUG55000PE,11.00,13.55,6.75,9.10,8.60,10.10,57239.75,9.10,646500,23880,38861,64131195372.00,14808,F1,30,,,,,
2026-08-19,2026-08-19,FO,NSE,IDO,59078,,BANKNIFTY,,2026-08-25,2026-08-25,56900.00,PE,BANKNIFTY26AUG56900PE,204.20,267.45,134.55,172.45,169.75,189.00,57239.75,172.45,150660,21240,58872,100853895991.50,42045,F1,30,,,,,
2026-08-19,2026-08-19,FO,NSE,IDO,59123,,BANKNIFTY,,2026-08-25,2026-08-25,58300.00,PE,BANKNIFTY26AUG58300PE,1115.00,1210.05,905.00,1012.50,1015.00,980.50,57239.75,1012.50,73050,-9870,881,1568780946.00,579,F1,30,,,,,
2026-08-19,2026-08-19,FO,NSE,IDO,59150,,BANKNIFTY,,2026-08-25,2026-08-25,59200.00,PE,BANKNIFTY26AUG59200PE,1962.25,1999.95,1780.50,1859.45,1859.50,1765.85,57239.75,1859.45,18900,-660,64,117345502.50,58,F1,30,,,,,
2026-08-19,2026-08-19,FO,NSE,IDO,59156,,BANKNIFTY,,2026-08-25,2026-08-25,59500.00,PE,BANKNIFTY26AUG59500PE,2260.00,2363.15,2049.00,2159.35,2135.15,2135.00,57239.75,2159.35,61770,-2280,194,359164809.00,108,F1,30,,,,,
2026-08-19,2026-08-19,FO,NSE,IDO,59229,,BANKNIFTY,,2026-08-25,2026-08-25,61200.00,PE,BANKNIFTY26AUG61200PE,0.00,0.00,0.00,3250.00,3250.00,3250.00,57239.75,3902.14,30,0,0,0.00,0,F1,30,,,,,
2026-08-19,2026-08-19,FO,NSE,IDO,59253,,BANKNIFTY,,2026-08-25,2026-08-25,61900.00,PE,BANKNIFTY26AUG61900PE,0.00,0.00,0.00,6452.10,0.00,6452.10,57239.75,4599.29,0,0,0,0.00,0,F1,30,,,,,
2026-08-19,2026-08-19,FO,NSE,IDO,59318,,BANKNIFTY,,2026-08-25,2026-08-25,64000.00,PE,BANKNIFTY26AUG64000PE,6760.00,6760.00,6737.85,6737.85,6737.85,6450.00,57239.75,6696.53,2190,-60,2,4244935.50,2,F1,30,,,,,
