TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-20,2026-08-20,FO,NSE,IDO,52264,,BANKNIFTY,,2026-09-29,2026-09-29,43500.00,CE,BANKNIFTY26SEP43500CE,0.00,0.00,0.00,13878.45,0.00,13878.45,57495.90,14306.56,0,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,69676,,BANKNIFTY,,2026-09-29,2026-09-29,52600.00,CE,BANKNIFTY26SEP52600CE,0.00,0.00,0.00,6236.45,0.00,6236.45,57495.90,5397.60,0,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,69722,,BANKNIFTY,,2026-09-29,2026-09-29,54500.00,CE,BANKNIFTY26SEP54500CE,0.00,0.00,0.00,3225.00,3225.00,3225.00,57495.90,3759.29,300,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,69822,,BANKNIFTY,,2026-09-29,2026-09-29,57500.00,CE,BANKNIFTY26SEP57500CE,1048.95,1195.95,1048.95,1077.10,1058.80,967.50,57495.90,1077.10,1163850,2880,10755,18917124243.00,8025,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,52360,,BANKNIFTY,,2026-09-29,2026-09-29,60000.00,CE,BANKNIFTY26SEP60000CE,200.00,200.00,158.10,161.75,160.20,145.70,57495.90,161.75,435450,65220,10481,18921591190.50,5739,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,70041,,BANKNIFTY,,2026-09-29,2026-09-29,61600.00,CE,BANKNIFTY26SEP61600CE,0.00,0.00,0.00,1239.60,0.00,1239.60,57495.90,385.84,0,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,70080,,BANKNIFTY,,2026-09-29,2026-09-29,62200.00,CE,BANKNIFTY26SEP62200CE,0.00,0.00,0.00,1076.90,0.00,1076.90,57495.90,294.91,0,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,70115,,BANKNIFTY,,2026-09-29,2026-09-29,64000.00,CE,BANKNIFTY26SEP64000CE,0.00,0.00,0.00,690.00,0.00,690.00,57495.90,122.21,0,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,49355,,BANKNIFTY,,2026-10-27,2026-10-27,51500.00,CE,BANKNIFTY26OCT51500CE,0.00,0.00,0.00,6433.85,0.00,6433.85,57495.90,6794.82,0,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,49377,,BANKNIFTY,,2026-10-27,2026-10-27,52500.00,CE,BANKNIFTY26OCT52500CE,0.00,0.00,0.00,5622.65,0.00,5622.65,57495.90,5913.18,0,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,49511,,BANKNIFTY,,2026-10-27,2026-10-27,57700.00,CE,BANKNIFTY26OCT57700CE,0.00,0.00,0.00,1305.45,1305.45,1305.45,57495.90,2255.73,390,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,49597,,BANKNIFTY,,2026-10-27,2026-10-27,61100.00,CE,BANKNIFTY26OCT61100CE,0.00,0.00,0.00,1095.30,0.00,1095.30,57495.90,934.08,0,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,49623,,BANKNIFTY,,2026-10-27,2026-10-27,62200.00,CE,BANKNIFTY26OCT62200CE,0.00,0.00,0.00,833.75,0.00,833.75,57495.90,672.23,0,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,49632,,BANKNIFTY,,2026-10-27,2026-10-27,62600.00,CE,BANKNIFTY26OCT62600CE,0.00,0.00,0.00,752.00,0.00,752.00,57495.90,593.02,0,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,49653,,BANKNIFTY,,2026-10-27,2026-10-27,63300.00,CE,BANKNIFTY26OCT63300CE,0.00,0.00,0.00,624.90,0.00,624.90,57495.90,472.87,0,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,49661,,BANKNIFTY,,2026-10-27,2026-10-27,63600.00,CE,BANKNIFTY26OCT63600CE,0.00,0.00,0.00,576.20,0.00,576.20,57495.90,427.97,0,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,53244,,BANKNIFTY,,2026-12-29,2026-12-29,61500.00,CE,BANKNIFTY26DEC61500CE,743.05,778.00,713.00,716.35,715.80,670.10,57495.90,716.35,13410,2100,174,324951760.50,120,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,70794,,BANKNIFTY,,2027-06-29,2027-06-29,58500.00,CE,BANKNIFTY27JUN58500CE,0.00,0.00,0.00,6124.45,0.00,6124.45,57495.90,5402.10,0,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,58737,,BANKNIFTY,,2026-08-25,2026-08-25,47000.00,PE,BANKNIFTY26AUG47000PE,1.25,2.00,0.70,0.95,0.90,1.30,57495.90,0.95,32310,-3300,663,934853026.50,211,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,69687,,BANKNIFTY,,2026-09-29,2026-09-29,53100.00,PE,BANKNIFTY26SEP53100PE,0.00,0.00,0.00,577.80,0.00,577.80,57495.90,171.96,0,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,69691,,BANKNIFTY,,2026-09-29,2026-09-29,53300.00,PE,BANKNIFTY26SEP53300PE,0.00,0.00,0.00,617.55,0.00,617.55,57495.90,193.73,0,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,69699,,BANKNIFTY,,2026-09-29,2026-09-29,53700.00,PE,BANKNIFTY26SEP53700PE,0.00,0.00,0.00,703.05,0.00,703.05,57495.90,243.84,0,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,69721,,BANKNIFTY,,2026-09-29,2026-09-29,54400.00,PE,BANKNIFTY26SEP54400PE,92.00,92.00,79.15,87.15,84.10,118.10,57495.90,87.15,26160,6390,1030,1683523228.50,614,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,69774,,BANKNIFTY,,2026-09-29,2026-09-29,55200.00,PE,BANKNIFTY26SEP55200PE,0.00,0.00,0.00,1100.15,1100.15,1100.15,57495.90,526.66,30,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,69802,,BANKNIFTY,,2026-09-29,2026-09-29,56500.00,PE,BANKNIFTY26SEP56500PE,350.05,365.80,295.65,330.40,339.90,435.55,57495.90,330.40,213540,14460,5204,8870894482.50,3061,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,69819,,BANKNIFTY,,2026-09-29,2026-09-29,57300.00,PE,BANKNIFTY26SEP57300PE,613.40,613.40,500.35,560.05,564.40,704.65,57495.90,560.05,254790,145950,8373,14536875150.00,4125,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,69869,,BANKNIFTY,,2026-09-29,2026-09-29,58700.00,PE,BANKNIFTY26SEP58700PE,0.00,0.00,0.00,1429.10,1433.80,1429.10,57495.90,1973.96,2850,0,0,0.00,0,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,69871,,BANKNIFTY,,2026-09-29,2026-09-29,58800.00,PE,BANKNIFTY26SEP58800PE,1199.95,1214.50,1199.95,1214.35,1214.35,1563.80,57495.90,2033.34,1770,330,12,21603742.50,12,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,52361,,BANKNIFTY,,2026-09-29,2026-09-29,60000.00,PE,BANKNIFTY26SEP60000PE,2208.05,2208.05,2024.00,2171.10,2190.00,2426.25,57495.90,2171.10,162780,26160,1938,3609775246.50,1433,F1,30,,,,,
2026-08-20,2026-08-20,FO,NSE,IDO,70012,,BANKNIFTY,,2026-09-29,2026-09-29,60100.00,PE,BANKNIFTY26SEP60100PE,0.00,0.00,0.00,3365.55,0.00,3365.55,57495.90,2889.95,0,0,0,0.00,0,F1,30,,,,,
