TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-28,2026-07-28,FO,NSE,IDO,59108,,BANKNIFTY,,2026-08-25,2026-08-25,58000.00,CE,BANKNIFTY26AUG58000CE,579.85,579.85,445.00,461.60,472.45,607.50,56755.60,461.60,1796490,381510,46639,81849304135.50,29480,F1,30,,,,,
2026-07-28,2026-07-28,FO,NSE,IDO,59090,,BANKNIFTY,,2026-08-25,2026-08-25,57500.00,CE,BANKNIFTY26AUG57500CE,833.80,833.80,638.70,656.10,672.00,843.65,56755.60,656.10,351360,96720,16295,28452377919.00,10706,F1,30,,,,,
2026-07-28,2026-07-28,FO,NSE,IDO,59000,,BANKNIFTY,,2026-08-25,2026-08-25,54800.00,CE,BANKNIFTY26AUG54800CE,0.00,0.00,0.00,2602.75,2602.75,2602.75,56755.60,2683.45,300,0,0,0.00,0,F1,30,,,,,
2026-07-28,2026-07-28,FO,NSE,IDO,58918,,BANKNIFTY,,2026-08-25,2026-08-25,51900.00,CE,BANKNIFTY26AUG51900CE,0.00,0.00,0.00,4766.95,0.00,4766.95,56755.60,5165.45,0,0,0,0.00,0,F1,30,,,,,
2026-07-28,2026-07-28,FO,NSE,IDO,58862,,BANKNIFTY,,2026-08-25,2026-08-25,50300.00,CE,BANKNIFTY26AUG50300CE,0.00,0.00,0.00,6003.65,0.00,6003.65,56755.60,6705.90,0,0,0,0.00,0,F1,30,,,,,
2026-07-28,2026-07-28,FO,NSE,IDO,58852,,BANKNIFTY,,2026-08-25,2026-08-25,50000.00,CE,BANKNIFTY26AUG50000CE,7245.10,7245.10,6923.30,6958.90,7005.85,7324.70,56755.60,6958.90,117060,9240,584,1000029664.50,553,F1,30,,,,,
2026-07-28,2026-07-28,FO,NSE,IDO,58848,,BANKNIFTY,,2026-08-25,2026-08-25,49800.00,CE,BANKNIFTY26AUG49800CE,0.00,0.00,0.00,6416.75,0.00,6416.75,56755.60,7197.00,0,0,0,0.00,0,F1,30,,,,,
2026-07-28,2026-07-28,FO,NSE,IDO,58810,,BANKNIFTY,,2026-08-25,2026-08-25,48900.00,CE,BANKNIFTY26AUG48900CE,0.00,0.00,0.00,7186.90,0.00,7186.90,56755.60,8086.55,0,0,0,0.00,0,F1,30,,,,,
2026-07-28,2026-07-28,FO,NSE,IDO,62153,,BANKNIFTY,,2026-07-28,2026-07-28,66000.00,CE,BANKNIFTY26JUL66000CE,0.35,1.95,0.05,0.10,0.05,0.40,56755.60,56755.60,41640,-44070,7313,14479855683.00,2985,F1,30,,,,,
2026-07-28,2026-07-28,FO,NSE,IDO,62012,,BANKNIFTY,,2026-07-28,2026-07-28,61300.00,CE,BANKNIFTY26JUL61300CE,0.70,3.90,0.05,0.60,0.25,1.65,56755.60,56755.60,7470,-4500,1901,3495978205.50,532,F1,30,,,,,
