TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-18,2026-08-18,FO,NSE,IDO,69793,,BANKNIFTY,,2026-09-29,2026-09-29,56100.00,CE,BANKNIFTY26SEP56100CE,0.00,0.00,0.00,3705.95,0.00,3705.95,57262.40,2474.22,0,0,0,0.00,0,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,69565,,BANKNIFTY,,2026-09-29,2026-09-29,50000.00,PE,BANKNIFTY26SEP50000PE,24.95,27.45,20.05,23.45,23.00,23.30,57262.40,23.45,72840,1080,756,1134522510.00,459,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,69667,,BANKNIFTY,,2026-09-29,2026-09-29,52000.00,PE,BANKNIFTY26SEP52000PE,39.50,40.65,32.75,35.85,34.55,34.65,57262.40,35.85,79260,5130,1744,2722533070.50,769,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,69673,,BANKNIFTY,,2026-09-29,2026-09-29,52300.00,PE,BANKNIFTY26SEP52300PE,0.00,0.00,0.00,437.60,0.00,437.60,57262.40,132.43,0,0,0,0.00,0,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,69681,,BANKNIFTY,,2026-09-29,2026-09-29,52800.00,PE,BANKNIFTY26SEP52800PE,0.00,0.00,0.00,521.75,0.00,521.75,57262.40,179.22,0,0,0,0.00,0,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,69693,,BANKNIFTY,,2026-09-29,2026-09-29,53400.00,PE,BANKNIFTY26SEP53400PE,0.00,0.00,0.00,638.15,0.00,638.15,57262.40,251.95,0,0,0,0.00,0,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,52335,,BANKNIFTY,,2026-09-29,2026-09-29,57000.00,PE,BANKNIFTY26SEP57000PE,470.45,635.30,461.85,578.35,590.10,435.70,57262.40,578.35,264840,38070,7377,12740897748.00,5262,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,69821,,BANKNIFTY,,2026-09-29,2026-09-29,57400.00,PE,BANKNIFTY26SEP57400PE,644.95,830.10,643.05,732.00,753.10,563.30,57262.40,732.00,200910,182400,10105,17633196664.50,5844,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,69916,,BANKNIFTY,,2026-09-29,2026-09-29,59300.00,PE,BANKNIFTY26SEP59300PE,0.00,0.00,0.00,1495.50,1503.60,1495.50,57262.40,2520.95,300,0,0,0.00,0,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,69945,,BANKNIFTY,,2026-09-29,2026-09-29,59500.00,PE,BANKNIFTY26SEP59500PE,1838.85,2011.25,1838.70,1977.65,2004.90,1671.55,57262.40,1977.65,4620,2700,149,274701738.00,97,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,70034,,BANKNIFTY,,2026-09-29,2026-09-29,61200.00,PE,BANKNIFTY26SEP61200PE,0.00,0.00,0.00,4076.75,0.00,4076.75,57262.40,3924.65,0,0,0,0.00,0,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,70090,,BANKNIFTY,,2026-09-29,2026-09-29,62600.00,PE,BANKNIFTY26SEP62600PE,0.00,0.00,0.00,5077.95,0.00,5077.95,57262.40,5109.32,0,0,0,0.00,0,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,70094,,BANKNIFTY,,2026-09-29,2026-09-29,62800.00,PE,BANKNIFTY26SEP62800PE,0.00,0.00,0.00,5228.65,0.00,5228.65,57262.40,5286.40,0,0,0,0.00,0,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,52405,,BANKNIFTY,,2026-09-29,2026-09-29,63000.00,PE,BANKNIFTY26SEP63000PE,5100.00,5250.00,5050.00,5160.15,5160.15,4830.00,57262.40,5465.12,2220,270,26,53184114.00,26,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,70108,,BANKNIFTY,,2026-09-29,2026-09-29,63600.00,PE,BANKNIFTY26SEP63600PE,0.00,0.00,0.00,5845.90,0.00,5845.90,57262.40,6010.18,0,0,0,0.00,0,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,70247,,BANKNIFTY,,2026-09-29,2026-09-29,65500.00,PE,BANKNIFTY26SEP65500PE,0.00,0.00,0.00,7415.10,0.00,7415.10,57262.40,7801.64,0,0,0,0.00,0,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,49362,,BANKNIFTY,,2026-10-27,2026-10-27,51700.00,PE,BANKNIFTY26OCT51700PE,0.00,0.00,0.00,435.80,0.00,435.80,57262.40,226.87,0,0,0,0.00,0,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,49366,,BANKNIFTY,,2026-10-27,2026-10-27,51900.00,PE,BANKNIFTY26OCT51900PE,0.00,0.00,0.00,468.65,0.00,468.65,57262.40,248.90,0,0,0,0.00,0,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,49390,,BANKNIFTY,,2026-10-27,2026-10-27,53100.00,PE,BANKNIFTY26OCT53100PE,0.00,0.00,0.00,706.45,0.00,706.45,57262.40,418.60,0,0,0,0.00,0,F1,30,,,,,
2026-08-18,2026-08-18,FO,NSE,IDO,49406,,BANKNIFTY,,2026-10-27,2026-10-27,53600.00,PE,BANKNIFTY26OCT53600PE,0.00,0.00,0.00,829.85,0.00,829.85,57262.40,510.95,0,0,0,0.00,0,F1,30,,,,,
